date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:27:31	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2006%20Aug%202021%2011:56:16%20GMT	https://technext.github.io/covid	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid.0.delayed	(from )
05:27:31	22347/22347	---M-Z	200	added ('OK')	text/html	etag:W/%225f64732b-574b%22	https://technext.github.io/covid/	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/index.html	(from )
05:27:32	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f74c501-247b%22	https://technext.github.io/robots.txt		(from )
05:27:32	79820/79820	---M-Z	200	added ('OK')	text/css	etag:W/%225f64732b-137cc%22	https://technext.github.io/covid/fonts/icomoon/style.css	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/icomoon/style.css	(from https://technext.github.io/covid/)
05:27:33	218383/218383	---M-Z	200	added ('OK')	text/css	etag:W/%225f64732b-3550f%22	https://technext.github.io/covid/css/bootstrap.min.css	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/bootstrap.min.css	(from https://technext.github.io/covid/)
05:27:33	21738/21738	---M-Z	200	added ('OK')	text/css	etag:W/%225f64732b-54ea%22	https://technext.github.io/covid/css/jquery-ui.css	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/jquery-ui.css	(from https://technext.github.io/covid/)
05:27:34	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%225f64732b-b78%22	https://technext.github.io/covid/css/owl.carousel.min.css	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/owl.carousel.min.css	(from https://technext.github.io/covid/)
05:27:34	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%225f64732b-3c5%22	https://technext.github.io/covid/css/owl.theme.default.min.css	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/owl.theme.default.min.css	(from https://technext.github.io/covid/)
05:27:35	12795/12795	---M-Z	200	added ('OK')	text/css	etag:W/%225f64732b-31fb%22	https://technext.github.io/covid/css/jquery.fancybox.min.css	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/jquery.fancybox.min.css	(from https://technext.github.io/covid/)
05:27:35	17144/17144	---M-Z	200	added ('OK')	text/css	etag:W/%225f64732b-42f8%22	https://technext.github.io/covid/css/bootstrap-datepicker.css	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/bootstrap-datepicker.css	(from https://technext.github.io/covid/)
05:27:36	1289/1289	---M-Z	200	added ('OK')	text/css	etag:W/%225f64732b-509%22	https://technext.github.io/covid/fonts/flaticon/font/flaticon.css	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon/font/flaticon.css	(from https://technext.github.io/covid/)
05:27:36	1525/1525	---M-Z	200	added ('OK')	text/css	etag:W/%225f64732b-5f5%22	https://technext.github.io/covid/fonts/flaticon-covid/font/flaticon.css	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/fonts/flaticon-covid/font/flaticon.css	(from https://technext.github.io/covid/)
05:27:37	25983/25983	---M-Z	200	added ('OK')	text/css	etag:W/%225f64732b-657f%22	https://technext.github.io/covid/css/aos.css	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/aos.css	(from https://technext.github.io/covid/)
05:27:37	33760/33760	---M-Z	200	added ('OK')	text/css	etag:W/%225f64732b-83e0%22	https://technext.github.io/covid/css/style.css	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/css/style.css	(from https://technext.github.io/covid/)
05:27:37	22347/22347	---M-Z	200	added ('OK')	text/html	etag:W/%225f64732b-574b%22	https://technext.github.io/covid/index.html	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/index-2.html	(from https://technext.github.io/covid/)
05:27:38	16119/16119	---M-Z	200	added ('OK')	text/html	etag:W/%225f64732b-3ef7%22	https://technext.github.io/covid/prevention.html	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/prevention.html	(from https://technext.github.io/covid/)
05:27:38	12805/12805	---M-Z	200	added ('OK')	text/html	etag:W/%225f64732b-3205%22	https://technext.github.io/covid/symptoms.html	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/symptoms.html	(from https://technext.github.io/covid/)
05:27:39	14953/14953	---M-Z	200	added ('OK')	text/html	etag:W/%225f64732b-3a69%22	https://technext.github.io/covid/about.html	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/about.html	(from https://technext.github.io/covid/)
05:27:39	13067/13067	---M-Z	200	added ('OK')	text/html	etag:W/%225f64732b-330b%22	https://technext.github.io/covid/blog.html	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/blog.html	(from https://technext.github.io/covid/)
05:27:39	10682/10682	---M-Z	200	added ('OK')	text/html	etag:W/%225f64732b-29ba%22	https://technext.github.io/covid/contact.html	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/contact.html	(from https://technext.github.io/covid/)
05:27:40	142394/142394	---M--	200	added ('OK')	image/png	etag:%225f64732b-22c3a%22	https://technext.github.io/covid/images/illustration.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/images/illustration.png	(from https://technext.github.io/covid/)
05:27:41	74017/74017	---M--	200	added ('OK')	image/png	etag:%225f64732b-12121%22	https://technext.github.io/covid/images/protect.png	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/images/protect.png	(from https://technext.github.io/covid/)
05:27:41	633392/633392	---M--	200	added ('OK')	image/jpeg	etag:%225f64732b-9aa30%22	https://technext.github.io/covid/images/hero_1.jpg	E:/js_practice/Covid%20tracker/Covid/technext.github.io/covid/images/hero_1.jpg	(from https://technext.github.io/covid/)
